Timestamp;DateTime;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_tx;Pirog17-cr1_ae3.773(AS20764 Rascom AVN_1389ip)_rx;BMor18-cr1_et-0/0/1.773(AS20764 Rascom spb-ivc-cr3)_tx;BMor18-cr1_et-0/0/1.773(AS20764 Rascom spb-ivc-cr3)_rx;BMor18-cr1_et-0/0/1.1389(AS20764 Rascom spb-bm18-cr1)_tx;BMor18-cr1_et-0/0/1.1389(AS20764 Rascom spb-bm18-cr1)_rx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_tx;Cvetoch19-cr1_ae3.773(AS20764 Rascom spb-ivc-cr3)_rx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_tx;Cvetoch19-cr1_ae3.1389(AS20764 Rascom spb-sel-cr2)_rx;Aggregated_tx;Aggregated_rx
1635977580;2021-11-04 01:13;91892880;86450496;0;0;0;0;236373784;237508544;91887944;357473344;420154608;681432384
1635977640;2021-11-04 01:14;129259944;124118704;0;0;0;0;204933544;240171648;101691112;320345816;435884600;684636168
1635977700;2021-11-04 01:15;111912480;101710416;0;0;0;0;203614392;260317624;117762040;304194088;433288912;666222128
1635977760;2021-11-04 01:16;93829384;125676760;0;0;0;0;240511936;300868280;112845520;254701904;447186840;681246944
1635977820;2021-11-04 01:17;111406336;146556096;0;0;0;0;234735336;230698864;125500088;336387680;471641760;713642640
1635977880;2021-11-04 01:18;76194640;202180128;0;0;0;0;256211536;212483104;149513808;354232088;481919984;768895320
1635977940;2021-11-04 01:19;96479008;89391120;0;0;0;0;308930208;207862552;163291248;295689368;568700464;592943040
1635978000;2021-11-04 01:20;101109712;115553408;0;0;0;0;323773984;245793752;213452056;314481464;638335752;675828624
1635978060;2021-11-04 01:21;107629184;125320424;0;0;0;0;315278840;257211584;204897128;360783872;627805152;743315880
1635978120;2021-11-04 01:22;114773888;96419944;0;0;0;0;328929640;184190248;203579176;344885648;647282704;625495840
1635978180;2021-11-04 01:23;105825440;99239856;0;0;0;0;303251480;190392712;205449208;328732184;614526128;618364752
1635978240;2021-11-04 01:24;94845984;112149984;0;0;0;0;302566344;227766008;193523816;330969936;590936144;670885928
1635978300;2021-11-04 01:25;121641304;137545016;0;0;0;0;317727792;246138608;211536984;339091632;650906080;722775256
1635978360;2021-11-04 01:26;80066168;156252440;0;0;0;0;318417032;187090624;205674400;327188776;604157600;670531840
1635978420;2021-11-04 01:27;86049224;151897696;0;0;0;0;335693104;219248504;198963792;324198104;620706120;695344304
1635978480;2021-11-04 01:28;94537256;133969800;0;0;0;0;308665096;231296728;208511944;322351784;611714296;687618312
1635978540;2021-11-04 01:29;92078472;135969624;0;0;0;0;340931352;199542280;228085408;332263856;661095232;667775760
1635978600;2021-11-04 01:30;106518144;90645240;0;0;0;0;297024824;214791888;269786984;357836704;673329952;663273832
1635978660;2021-11-04 01:31;99425120;98869392;0;0;0;0;315251472;222782576;325864640;432275760;740541232;753927728
1635978720;2021-11-04 01:32;82850464;103898088;0;0;0;0;316843832;234826344;225033096;456263496;624727392;794987928
1635978780;2021-11-04 01:33;116785688;124691352;0;0;0;0;324178368;176639448;164943520;433109272;605907576;734440072
1635978840;2021-11-04 01:34;71222760;115639872;0;0;0;0;358609200;184297240;177899352;406791416;607731312;706728528
1635978900;2021-11-04 01:35;91050960;139585216;0;0;0;0;419552784;186184336;133096848;385292352;643700592;711061904
1635978960;2021-11-04 01:36;89262488;118061984;0;0;0;0;437897000;189984240;113843656;385751184;641003144;693797408
1635979020;2021-11-04 01:37;100115032;135227328;0;0;0;0;442386032;181260376;116096160;395387496;658597224;711875200
1635979080;2021-11-04 01:38;106334608;161706624;0;0;0;0;493227576;221008840;75279752;370220528;674841936;752935992
1635979140;2021-11-04 01:39;114239224;161695112;0;0;0;0;496093384;207850560;65657760;380138832;675990368;749684504
1635979200;2021-11-04 01:40;99928696;181947856;0;0;0;0;495948552;255404248;73543136;385391712;669420384;822743816
1635979260;2021-11-04 01:41;104270056;144037400;0;0;0;0;480876872;219638096;73917136;337103072;659064064;700778568
1635979320;2021-11-04 01:42;67787192;123950984;0;0;0;0;477058704;189274520;76297192;359704416;621143088;672929920
1635979380;2021-11-04 01:43;86315720;120491656;0;0;0;0;465847616;172556328;63648968;326195032;615812304;619243016
1635979440;2021-11-04 01:44;148420488;134602880;0;0;0;0;499941152;179779376;67856984;314187848;716218624;628570104
1635979500;2021-11-04 01:45;165246488;140998216;0;0;0;0;484220072;294850232;73209872;214624400;722676432;650472848
1635979560;2021-11-04 01:46;166648960;153376160;0;0;0;0;456350144;288464976;75407840;185014464;698406944;626855600
1635979620;2021-11-04 01:47;172647616;152086624;0;0;0;0;504898192;266448464;75077936;232821600;752623744;651356688
1635979680;2021-11-04 01:48;146214808;156655688;0;0;0;0;484039824;350766912;74525584;233034544;704780216;740457144
1635979740;2021-11-04 01:49;119139464;175649968;0;0;0;0;475940128;302219824;63684616;243871752;658764208;721741544
1635979800;2021-11-04 01:50;82840168;168388688;0;0;0;0;437803304;297293832;58227704;234344952;578871176;700027472
1635979860;2021-11-04 01:51;88843984;163606792;0;0;0;0;493452872;318482728;69775712;227474816;652072568;709564336
1635979920;2021-11-04 01:52;109100760;159829064;0;0;0;0;432214000;298792080;67661848;217018280;608976608;675639424
1635979980;2021-11-04 01:53;100867944;141181440;0;0;0;0;433984696;291932656;59085496;205834776;593938136;638948872
1635980040;2021-11-04 01:54;98832304;155575952;0;0;0;0;442806000;263858152;72079400;185859464;613717704;605293568
1635980100;2021-11-04 01:55;117867952;100855968;0;0;0;0;282274536;256140864;88496216;174267024;488638704;531263856
1635980160;2021-11-04 01:56;94092760;97745456;0;0;0;0;267971480;268199872;93368976;170690384;455433216;536635712
1635980220;2021-11-04 01:57;128589824;93195456;0;0;0;0;248232064;258798600;69222128;188751136;446044016;540745192
1635980280;2021-11-04 01:58;83175384;118124832;0;0;0;0;295882920;304104496;43679632;160000808;422737936;582230136
1635980340;2021-11-04 01:59;93698464;88243136;0;0;0;0;293914304;274505440;49321712;145898880;436934480;508647456
1635980400;2021-11-04 02:00;105332928;68994816;0;0;0;0;293820712;323364848;129011240;210344832;528164880;602704496
1635980460;2021-11-04 02:01;92483432;106367960;0;0;0;0;300508160;343579432;156560160;172426056;549551752;622373448
